id,name,value
1,Megan,22
2,Katherine,902
3,Robert,997
4,Jonathan,39
5,William,448
6,Richard,1000
7,Kristen,836
8,Kevin,875
9,Thomas,307
10,Brandy,440
11,Rebecca,962
12,William,286
13,Juan,721
14,Katelyn,469
15,Christine,216
16,John,922
17,Renee,726
18,Tonya,28
19,Lisa,276
20,Rachel,596
21,Kyle,344
22,Jessica,664
23,Rachel,106
24,Gabriella,360
25,Thomas,793
26,Craig,309
27,Ryan,682
28,Cheryl,928
29,Robin,45
30,Tammy,309
31,Thomas,879
32,Michelle,594
33,Jorge,635
34,Linda,976
35,Ana,545
36,Alexis,650
37,Jennifer,324
38,Raymond,127
39,Mallory,181
40,Elizabeth,979
41,Aaron,823
42,Tristan,966
43,Mikayla,601
44,John,505
45,Mark,812
46,Monica,489
47,James,395
48,Ashley,723
49,John,928
50,Tammy,951
51,Linda,251
52,Seth,593
53,Christopher,322
54,Luke,24
55,William,408
56,Sarah,93
57,Daniel,715
58,Andrea,133
59,Jasmine,542
60,Amy,594
61,Lisa,48
62,Amber,137
63,Tamara,185
64,Carrie,510
65,Briana,323
66,Sean,212
67,Caitlyn,202
68,Paul,353
69,Barbara,50
70,Kelly,463
71,Jaime,327
72,Jacob,206
73,Chloe,305
74,Diane,78
75,Thomas,362
76,Christopher,166
77,Katherine,265
78,Nancy,858
79,Sandra,596
80,Megan,853
81,Rachael,846
82,Sandra,746
83,Amber,514
84,Peter,459
85,Janet,880
86,Joshua,327
87,Lisa,306
88,Melissa,780
89,Patty,268
90,Brittany,262
91,Stephanie,424
92,Bethany,279
93,Shannon,597
94,Donna,270
95,Wendy,500
96,Sabrina,590
97,Laura,718
98,Christopher,563
99,Chloe,414
100,Tom,802
